,Unnamed: 0,broj_soba,kvadratura_m2,ukupan_broj_spratova,lokacija,udaljenost
320,6509,1.0,30.0,3.0,Golf naselje,5.410252426884403
321,6510,3.0,61.0,4.0,Pašino brdo,3.7759754581122
322,6511,2.0,56.0,3.0,Zemun (Save Kovačevića),5.656161280742945
323,6512,3.0,75.0,3.0,Zemun (Save Kovačevića),5.656161280742945
324,6513,4.0,86.0,3.0,Zemun (Save Kovačevića),5.656161280742945
325,6514,4.0,135.0,4.0,Kalenić pijaca,2.4656921514269445
326,6515,4.0,85.0,5.0,Lion,1228.263457866654
327,6516,4.0,119.0,6.0,Žarkovo,7.341600443143959
328,6517,2.0,70.0,4.0,Palata pravde,1.46223157229707
329,6518,4.0,137.0,5.0,Vračar (Hram),2.4067349663387816
330,6520,2.0,45.0,4.0,Dedinje (RTV Pink),4.507426578162715
332,6522,3.0,60.0,6.0,Trošarina,6.558459236390923
333,6523,4.0,98.0,4.0,Vračar (Hram),2.4067349663387816
334,6525,2.0,56.0,4.0,Kanarevo brdo,7.30409559782674
335,6526,3.0,52.0,2.0,Višnjička banja,6.224162953219111
336,6538,3.0,67.0,3.0,Ledine,518.9711791843507
337,6555,2.0,66.0,4.0,Crveni krst,3.2295039183622145
338,6556,1.0,44.0,10.0,Voždovac,6.7168704899933
339,6557,2.0,61.0,6.0,Borča I,488.9044468056649
340,6560,6.0,191.0,8.0,Crveni krst,3.2295039183622145
341,6577,2.0,43.0,6.0,Vračar (Centar),2.950728658023147
342,6581,5.0,173.0,9.0,Južni bulevar,3.028100804547556
343,6587,5.0,111.0,18.0,Novi Beograd,3.3260474665697872
344,6588,2.0,63.0,5.0,Novi Beograd Blok 65,4.666140798792486
345,6591,4.0,69.0,2.0,Vukov spomenik,2.1630935026910407
