,broj_soba,kvadratura_m2,spratnost,godina,udaljenost
421,2,46,4,1965,0.33608526663220517
425,4,133,1,1950,2.4656921514269445
426,2,55,6,2020,3.229503918362215
427,2,65,2,2020,3.229503918362215
428,1,39,8,1976,2.216783588085802
429,6,208,2,2015,5.5362987541185245
430,6,110,8,1948,3.845037680399141
431,5,78,4,1960,4.48966661360998
432,5,115,2,1993,7.341600443143959
433,5,120,1,2018,4.627809124287993
434,4,85,3,1936,2.707399459121268
435,4,95,5,1995,2.2110960605513212
436,5,127,5,1932,0.33608526663220517
437,5,105,4,1991,5.938591758432152
439,1,50,1,2019,3.229503918362215
440,1,39,-1,1960,4.48966661360998
441,3,62,4,2010,0.919179918821867
442,3,69,2,1970,0.33608526663220517
444,2,55,5,1990,5.5362987541185245
445,2,61,11,1968,2.4656921514269445
446,3,60,2,1929,2.950728658023147
447,2,50,4,2010,8.404931935037915
448,3,82,2,1935,2.1630935026910407
449,3,66,3,2007,6.2241629532191105
450,1,40,6,2000,0.7637809531403825
452,3,80,1,2015,8.586996125221107
453,4,82,3,2014,7.0581528069193915
454,3,82,2,2021,3.7759754581122
455,3,106,2,2021,3.7759754581122
456,3,91,6,2021,3.7759754581122
457,3,71,3,1925,1.0532900558286078
458,3,79,2,2021,6.2241629532191105
459,4,168,4,1935,1.4548943184742773
460,6,160,2,2016,5.5362987541185245
461,3,106,1,2021,2.8931627895061047
462,4,94,5,2019,3.028100804547556
464,5,156,6,2014,3.229503918362215
465,3,62,2,2020,3.9333331631598982
466,4,109,6,2015,2.1630935026910407
467,2,43,3,2021,7.727643811926475
468,2,43,1,2021,7.727643811926475
469,3,75,2,2020,4.627809124287993
470,3,61,2,2021,8.758272925844354
471,3,80,5,2010,8.586996125221107
472,2,57,3,2020,8.758272925844354
473,3,57,3,2005,3.7759754581122
475,5,143,4,2010,2.4656921514269445
476,4,90,4,1955,2.4656921514269445
477,5,170,1,2007,1.9339117769294034
478,5,175,4,2012,4.48966661360998
479,2,39,3,2020,4.627809124287993
482,3,64,3,2013,0.6620427698899353
483,3,70,1,2013,5.366227568282904
484,4,75,4,1997,7.341600443143959
485,4,99,4,1894,1.7729576626938195
486,4,88,1,2021,7.127100263495205
487,4,92,1,2021,7.127100263495205
488,4,90,2,2021,7.127100263495205
489,4,134,2,2019,11.920072721153614
490,4,150,6,2009,2.1630935026910407
496,5,180,3,2010,3.764078274853733
497,1,32,4,1970,0.8372037712279973
499,5,111,5,1970,0.33608526663220517
502,1,33,-1,1940,0.919179918821867
503,4,100,1,1970,10.88236090103913
506,2,62,2,1960,3.215018856368662
507,2,72,4,2010,4.627809124287993
508,4,174,7,2007,4.627809124287993
509,2,53,8,1980,2.4656921514269445
510,4,96,3,2010,3.229503918362215
513,4,143,5,2021,5.850879238095825
514,4,106,3,1939,2.1630935026910407
515,4,94,2,2020,8.758272925844354
516,4,100,3,1991,2.950728658023147
517,4,94,2,2020,8.758272925844354
518,4,85,4,2010,3.764078274853733
519,2,41,-1,2019,4.627809124287993
520,2,45,6,1979,3.869601128733556
521,2,34,1,2019,4.180902157560265
522,2,55,1,2020,1.4993440102972917
523,2,39,2,2018,7.153095479774088
524,2,34,7,2019,7.153095479774088
526,3,60,3,1926,2.2110960605513212
527,3,70,5,1994,6.0625307468511105
528,3,66,6,1930,0.40975379082458147
529,3,70,1,1979,7.727643811926475
530,2,58,2,1964,3.7759754581122
531,5,216,3,2009,4.627809124287993
533,3,66,2,2021,4.627809124287993
534,4,95,1,2020,2.950728658023147
535,2,65,1,1975,4.627809124287993
537,3,78,3,2010,4.627809124287993
538,3,50,2,2005,7.341600443143959
539,4,112,1,2020,4.627809124287993
540,3,97,1,2010,4.180902157560265
541,4,94,5,2013,2.950728658023147
543,3,75,2,2019,4.180902157560265
544,4,92,3,1950,4.180902157560265
547,2,45,3,2019,4.627809124287993
548,3,70,1,2015,4.627809124287993
551,2,59,5,2013,4.48966661360998
552,2,58,4,2019,4.627809124287993
553,3,103,5,2013,2.950728658023147
554,4,122,6,2017,4.180902157560265
555,4,112,7,1989,1.46223157229707
556,4,70,4,2014,7.355433915187332
558,4,188,5,2006,7.024177481522416
559,4,113,1,1970,8.943213643405164
560,4,116,3,2001,1.46223157229707
561,2,38,3,2011,2.4656921514269445
563,2,35,-1,2013,12.532710568919573
564,4,87,3,1980,8.707751488371587
566,4,91,5,1950,1.4548943184742773
567,4,109,2,2007,3.229503918362215
569,4,102,5,2021,3.229503918362215
570,4,75,2,2018,3.764078274853733
572,2,100,1,2021,2.6496467107738804
573,2,52,1,2021,4.627809124287993
574,2,56,18,2020,1.4993440102972917
575,2,56,3,2021,4.627809124287993
576,2,59,4,2021,4.627809124287993
577,2,53,3,2021,1.632392123413332
578,2,53,14,2020,1.4993440102972917
579,4,101,4,1966,0.33608526663220517
580,4,167,2,2019,7.687569395012977
581,1,33,4,1930,2.950728658023147
582,3,62,2,1938,1.4548943184742773
584,3,80,1,1975,2.950728658023147
585,3,114,1,2019,2.950728658023147
586,4,94,1,2021,8.758272925844354
587,4,63,1,1939,2.054488014985931
588,4,142,2,2001,7.341600443143959
589,4,114,4,1938,0.33608526663220517
590,2,48,1,1923,3.0199873882277415
591,3,63,2,2010,14.162730619680794
592,2,52,1,2005,3.0199873882277415
593,4,89,4,1970,3.764078274853733
594,2,42,2,2011,6.412357511311248
595,2,61,11,1968,2.4656921514269445
596,4,106,4,2016,6.558459236390924
599,4,99,4,1961,1.7729576626938195
600,3,84,4,2004,6.0625307468511105
602,4,88,1,1990,51.60738518857496
604,2,49,3,2006,5.938591758432152
605,3,67,6,1965,1.6695696906286124
606,2,67,4,1962,7.727643811926475
607,3,113,4,1966,0.33608526663220517
608,2,67,4,1962,7.727643811926475
609,3,70,8,1970,1.0532900558286078
610,4,90,6,2019,3.229503918362215
611,3,72,2,1936,2.950728658023147
612,2,62,1,2020,8.758272925844354
614,4,85,4,2006,7.0581528069193915
615,3,90,3,1939,0.40975379082458147
616,3,61,2,2021,8.758272925844354
618,2,82,1,1936,2.4656921514269445
619,2,58,2,1997,7.687569395012977
620,2,53,1,1966,5.999329576170734
622,2,59,1,2021,8.758272925844354
623,4,119,2,2003,1.8357865205205397
624,4,90,1,1840,0.4560756477657138
625,4,76,1,1936,1.6695696906286124
626,4,68,4,2020,9.02179299995636
627,4,68,4,2020,9.02179299995636
628,5,90,2,2008,8.50683751498356
629,4,65,4,2020,9.02179299995636
630,4,72,2,1934,1.0532900558286078
631,4,65,4,2020,9.02179299995636
632,4,88,3,2003,2.950728658023147
633,4,104,2,1930,1.9339117769294034
634,4,83,3,1926,2.1630935026910407
635,5,173,5,1975,2.950728658023147
636,4,80,5,1993,6.0625307468511105
637,4,104,6,2021,3.0199873882277415
639,3,62,2,1934,1.632392123413332
640,3,62,2,1934,1.632392123413332
641,4,83,-1,1930,0.33608526663220517
642,3,62,2,1934,1.632392123413332
643,3,62,2,1934,1.632392123413332
644,3,64,3,1980,7.153095479774088
645,3,64,3,1980,7.153095479774088
646,3,64,3,1980,7.153095479774088
647,3,64,3,1980,7.153095479774088
648,3,70,7,1989,3.229503918362215
649,2,59,3,1956,0.8372037712279973
650,3,97,1,1923,0.5971212879791641
651,3,91,3,2019,4.627809124287993
652,3,85,3,2019,4.627809124287993
654,3,112,5,2019,2.6496467107738804
655,3,102,1,2019,2.6496467107738804
656,3,112,4,2019,2.6496467107738804
657,3,205,6,2019,2.6496467107738804
658,3,80,3,1930,0.6620427698899353
659,3,127,5,2020,2.6496467107738804
